State	NO2	O3	SO2	CO	Date
Massachusetts	14.39873825	0.022485864	0.699001539	0.274522991	2015
Massachusetts	15.8292734	0.023563385	0.662078736	0.273873549	2016
Michigan	22.73382701	0.023395642	5.398899944	0.282248844	2000
Michigan	22.77987475	0.028067524	5.364714932	0.39549119	2001
Michigan	18.17108444	0.028539567	3.42704653	0.364557756	2002
Michigan	17.56076414	0.027213933	3.018711922	0.396181406	2003
Michigan	14.56841221	0.025909787	2.404298239	0.356671464	2004
Michigan	15.67081459	0.029731098	2.668506426	0.321569463	2005
Michigan	12.52517828	0.02717342	1.918461227	0.312453886	2006
Michigan	8.125	0.021	2.3125	0.229167	2007
Minnesota	7.520671753	0.02758593	0.882961449	0.213265199	2011
Minnesota	6.363671258	0.035398871	0.400000274	0.153732065	2012
Minnesota	6.206880177	0.025342051	0.412316803	0.25133451	2014
Minnesota	6.63678457	0.026116471	0.691056673	0.282475912	2015
Missouri	16.87274991	0.027760804	4.123919363	0.524457889	2000
Missouri	17.2301108	0.029478819	4.277233558	0.49101702	2001
Missouri	17.3851272	0.028731589	4.127096577	0.581289638	2002
Missouri	16.52945921	0.028808604	3.626357415	0.564686781	2003
Missouri	13.87077363	0.025585274	3.436438391	0.55273024	2004
Missouri	12.61515179	0.032609044	3.169681977	0.481166014	2005
Missouri	13.14985432	0.028702967	3.311647657	0.41428054	2006
Missouri	12.82610671	0.031563777	3.425269687	0.416740043	2007
Missouri	12.10871734	0.028429949	2.795509414	0.361045372	2008
Missouri	12.05778804	0.024144848	2.500993088	0.259209152	2013
Missouri	11.8348399	0.025086003	2.124556964	0.254678786	2014
Missouri	13.1099787	0.02068346	1.401676212	0.270231496	2015
Missouri	12.48584653	0.023045714	1.099280837	0.322033122	2016
Nevada	5.87626313	0.030838217	0.283307457	0.065467815	2001
Nevada	2.995051135	0.041216693	0.062419828	0.042946236	2002
Nevada	2.345594428	0.041386006	0.014056223	0.002022614	2003
Nevada	22.3421667	0.0182294	0.43375	0.2979165	2010
Nevada	16.66588024	0.026886373	0.517126011	0.29683403	2011
Nevada	14.14734752	0.031572189	0.358698739	0.257451422	2012
Nevada	16.23553077	0.028116846	0.515618954	0.305785965	2013
Nevada	13.54173545	0.03149046	0.360863604	0.275258809	2014
Nevada	13.29666558	0.031501067	0.390564794	0.268004752	2015
Nevada	17.42081515	0.022641167	0.36660559	0.323526551	2016
New Hampshire	9.98933606	0.030568168	1.128612625	0.277244082	2002
New Hampshire	9.368332374	0.02895131	1.331122868	0.334095282	2003
New Hampshire	9.768453239	0.026898424	2.365539832	0.257865799	2004
New Hampshire	9.146547134	0.026301294	2.999262602	0.453738229	2005
New Hampshire	7.333276811	0.028569491	1.526494206	0.347511994	2006
New Hampshire	7.621771136	0.028604163	1.241852348	0.460866	2007
New Hampshire	7.219969088	0.027778604	1.313409203	0.508130005	2008
New Hampshire	8.223537261	0.022324284	1.488097623	0.37205819	2009
New Hampshire	7.668570668	0.029611966	0.969610873	0.443567116	2010
